screen_y,rows_below_horizon,depth_world_units,pixels_per_world_unit,road_half_width_px,left_edge_px,right_edge_px,camera_right_25_shift_px
164,68,235.2941176470588,0.68,61.2,98.8,221.2,-17.0
165,69,231.8840579710145,0.69,62.099999999999994,97.9,222.1,-17.25
166,70,228.57142857142858,0.7,62.99999999999999,97.0,223.0,-17.5
167,71,225.35211267605635,0.71,63.9,96.1,223.9,-17.75
168,72,222.22222222222223,0.72,64.8,95.2,224.8,-18.0
169,73,219.17808219178082,0.73,65.7,94.3,225.7,-18.25
170,74,216.21621621621622,0.74,66.6,93.4,226.6,-18.5
171,75,213.33333333333334,0.75,67.5,92.5,227.5,-18.75
172,76,210.52631578947367,0.76,68.4,91.6,228.4,-19.0
173,77,207.7922077922078,0.77,69.3,90.7,229.3,-19.25
174,78,205.12820512820514,0.7799999999999999,70.19999999999999,89.80000000000001,230.2,-19.499999999999996
175,79,202.53164556962025,0.79,71.10000000000001,88.89999999999999,231.10000000000002,-19.75
176,80,200.0,0.8,72.0,88.0,232.0,-20.0
177,81,197.53086419753086,0.81,72.9,87.1,232.9,-20.25
178,82,195.1219512195122,0.82,73.8,86.2,233.8,-20.5
179,83,192.7710843373494,0.83,74.7,85.3,234.7,-20.75
180,84,190.47619047619048,0.84,75.6,84.4,235.6,-21.0
181,85,188.23529411764707,0.85,76.5,83.5,236.5,-21.25
182,86,186.04651162790697,0.8600000000000001,77.4,82.6,237.4,-21.500000000000004
183,87,183.90804597701148,0.8700000000000001,78.30000000000001,81.69999999999999,238.3,-21.750000000000004
184,88,181.8181818181818,0.88,79.2,80.8,239.2,-22.0
185,89,179.77528089887642,0.8899999999999999,80.1,79.9,240.1,-22.249999999999996
186,90,177.77777777777777,0.9,81.0,79.0,241.0,-22.5
187,91,175.82417582417582,0.91,81.9,78.1,241.9,-22.75
188,92,173.91304347826087,0.9199999999999999,82.8,77.2,242.8,-23.0
189,93,172.04301075268816,0.93,83.7,76.3,243.7,-23.25
190,94,170.2127659574468,0.9400000000000001,84.60000000000001,75.39999999999999,244.60000000000002,-23.5
191,95,168.42105263157896,0.95,85.5,74.5,245.5,-23.75
192,96,166.66666666666666,0.9600000000000001,86.4,73.6,246.4,-24.000000000000004
193,97,164.94845360824743,0.97,87.3,72.7,247.3,-24.25
194,98,163.26530612244898,0.98,88.2,71.8,248.2,-24.5
195,99,161.6161616161616,0.9900000000000001,89.10000000000001,70.89999999999999,249.10000000000002,-24.750000000000004
196,100,160.0,1.0,90.0,70.0,250.0,-25.0
197,101,158.41584158415841,1.01,90.9,69.1,250.9,-25.25
198,102,156.86274509803923,1.02,91.8,68.2,251.8,-25.5
199,103,155.3398058252427,1.03,92.7,67.3,252.7,-25.75
200,104,153.84615384615384,1.04,93.60000000000001,66.39999999999999,253.60000000000002,-26.0
201,105,152.38095238095238,1.05,94.5,65.5,254.5,-26.25
202,106,150.9433962264151,1.0599999999999998,95.39999999999999,64.60000000000001,255.39999999999998,-26.499999999999996
203,107,149.53271028037383,1.07,96.30000000000001,63.69999999999999,256.3,-26.75
204,108,148.14814814814815,1.08,97.2,62.8,257.2,-27.0
205,109,146.78899082568807,1.09,98.10000000000001,61.89999999999999,258.1,-27.250000000000004
206,110,145.45454545454547,1.0999999999999999,98.99999999999999,61.000000000000014,259.0,-27.499999999999996
207,111,144.14414414414415,1.1099999999999999,99.89999999999999,60.10000000000001,259.9,-27.749999999999996
208,112,142.85714285714286,1.1199999999999999,100.79999999999998,59.20000000000002,260.79999999999995,-27.999999999999996
209,113,141.5929203539823,1.1300000000000001,101.70000000000002,58.29999999999998,261.70000000000005,-28.250000000000004
210,114,140.35087719298247,1.14,102.6,57.400000000000006,262.6,-28.499999999999996
211,115,139.1304347826087,1.1500000000000001,103.50000000000001,56.499999999999986,263.5,-28.750000000000004
212,116,137.93103448275863,1.16,104.39999999999999,55.60000000000001,264.4,-28.999999999999996
213,117,136.75213675213675,1.17,105.3,54.7,265.3,-29.25
214,118,135.59322033898306,1.18,106.19999999999999,53.80000000000001,266.2,-29.5
215,119,134.45378151260505,1.19,107.1,52.900000000000006,267.1,-29.75
216,120,133.33333333333334,1.2,108.0,52.0,268.0,-30.0
217,121,132.23140495867767,1.2100000000000002,108.90000000000002,51.09999999999998,268.90000000000003,-30.250000000000004
218,122,131.14754098360655,1.2200000000000002,109.80000000000001,50.19999999999999,269.8,-30.500000000000004
219,123,130.08130081300814,1.23,110.7,49.3,270.7,-30.75
220,124,129.03225806451613,1.24,111.6,48.400000000000006,271.6,-31.0
221,125,128.0,1.25,112.5,47.5,272.5,-31.25
222,126,126.98412698412699,1.26,113.4,46.599999999999994,273.4,-31.5
223,127,125.98425196850394,1.27,114.3,45.7,274.3,-31.75
